track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05,permutation_id,source_path
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.008060427353789,0.0168043871774632,-0.0248755662963056,0.0409964210038836,0.6314676936259018,-0.3343189049598218,-0.3545076973437584,-0.3809830696300887,0.004677157450874,3506.469998895388,0.8070735674487762,1.0,0,0,1,
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0002321397636497,0.0004219671889374,-0.0010591802566247,0.0005949007293252,0.5822254101281635,0.0931907852808224,-0.3235660689381465,-0.3809830696300887,0.0234424817980105,3506.469998895388,0.8070735674487762,1.0,0,0,1,
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,3.819796168185709e-06,6.613297050188553e-06,-9.142027869248831e-06,1.6781620205620253e-05,0.5635387211241971,0.0931907852808224,-0.4648754426083612,-0.3809830696300887,0.0234424817980105,3506.469998895388,0.8070735674487762,1.0,0,0,1,
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0434853311669902,0.0223834934239122,-0.0003855097920668,0.0873561721260473,0.0520474555938473,0.0931907852808224,-0.3545076973437584,-0.3809830696300887,0.0234424817980105,3506.469998895388,0.5007313471973195,1.0,0,0,1,
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0011261954250761,0.0010219906155165,-0.0008768693738742,0.0031292602240265,0.2704779360300777,-0.1763078223829672,-0.3235660689381465,-0.3809830696300887,0.0054201585094413,3506.469998895388,0.73029042728121,1.0,0,0,1,
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-8.770531350489028e-06,1.061377554568293e-05,-2.957314916001953e-05,1.2032086459041474e-05,0.4086142375309297,-0.1763078223829672,-0.4648754426083612,-0.3809830696300887,0.0054201585094413,3506.469998895388,0.7880417438096502,1.0,0,0,1,
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0141016819885245,0.0361968051064759,-0.0568427523755837,0.0850461163526328,0.6968444740547521,-0.1763078223829672,-0.3545076973437584,-0.3809830696300887,0.0054201585094413,3506.469998895388,0.8070735674487762,1.0,0,0,1,
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0003018207688264,0.0002689344502223,-0.0008289226054644,0.0002252810678114,0.2617418044233992,-0.3464896241871518,-0.3391022492707074,-0.4131214296215169,0.0057017017111734,3518.9806278078927,0.73029042728121,1.0,0,0,1,
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,2.6686257557250573e-06,3.99527476595696e-06,-5.161968893892277e-06,1.0499220405342391e-05,0.5041683892519822,-0.3464896241871518,-0.5020048940468924,-0.4131214296215169,0.0057017017111734,3518.9806278078927,0.8070735674487762,1.0,0,0,1,
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0093216976009886,0.0162154751056449,-0.0224600495982812,0.0411034448002584,0.565383081869421,-0.3464896241871518,-0.3982571455469508,-0.4131214296215169,0.0057017017111734,3518.9806278078927,0.8070735674487762,1.0,0,0,1,
