track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05,source_path,estimate_reference,std_error_reference,p_value_reference,estimate_delta_vs_reference,std_error_ratio_vs_reference,same_sign_as_reference,rows_before_trim,rows_after_trim
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,561,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.0557350585332765,0.0392605930202856,-0.132684406864721,0.021214289798168,0.155718818410372,-0.2014345650208273,-0.2657109707053127,0.1713451282634994,0.018805351793209,3466.1881406458265,0.3822189179163678,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0444382620060267,0.0316267833781405,0.1599965390637986,-0.011296796527249804,1.2413716738396283,1.0,633,562
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,561,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0156221510007535,0.0267647267172395,-0.0680800514226,0.036835749421093,0.5594327264045575,-0.3234831195767,0.9968345128228652,0.1713451282634994,0.0192746290554711,3466.1881406458265,0.7745991596370797,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0113852391630578,0.0171383394007478,0.5064893489119162,-0.0042369118376957005,1.5616872843626655,1.0,633,562
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,561,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-1.0137301405482485e-05,1.09278700383687e-05,-3.1555533108419475e-05,1.1280930297454504e-05,0.3535861722396983,-0.3234831195767,-0.2170881573270542,0.1713451282634994,0.0192746290554711,3466.1881406458265,0.5615780382630503,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,-1.4496609083943216e-05,1.0709750170040614e-05,0.1758672681872102,4.359307678460731e-06,1.0203664758621778,1.0,633,562
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,561,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.0591315377544013,0.0313222710643612,-0.1205220609545505,0.0022589854457477,0.0590469980687483,-0.3234831195767,-0.2657109707053127,0.1713451282634994,0.0192746290554711,3466.1881406458265,0.2277527068366006,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0133712574150162,0.0360725534227719,0.7108782980949662,-0.045760280339385104,0.8683131104489006,1.0,633,562
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,561,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0150495168521661,0.0532425165919654,-0.1194029318186945,0.0893038981143623,0.7774376671894881,-0.2889350738417067,0.9968345128228652,0.1713451282634994,0.0050530399781154,3466.1881406458265,0.9329252006273856,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.051829075330831,0.0285360283690474,0.0693292706226815,0.036779558478664896,1.865799819911756,1.0,633,562
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,561,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,2.2974169276873928e-05,3.179124545420493e-05,-3.933552683704044e-05,8.52838653907883e-05,0.4698905776145906,-0.2889350738417067,-0.2170881573270542,0.1713451282634994,0.0050530399781154,3466.1881406458265,0.6677392418733656,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,1.902454963531123e-05,2.416290569102073e-05,0.4310797726377837,3.949619641562699e-06,1.315704570498696,1.0,633,562
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,561,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.0838374544758156,0.0712262749213353,-0.2234383880745813,0.0557634791229501,0.2391723697180046,-0.2889350738417067,-0.2657109707053127,0.1713451282634994,0.0050530399781154,3466.1881406458265,0.4577621664830216,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.1543894330774073,0.0679081771576081,0.0229958956639596,0.0705519786015917,1.0488615348344021,1.0,633,562
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,561,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0038028927051499,0.0413366122135912,-0.0848211638866872,0.0772153784763873,0.9266994930269964,-0.1772450892589467,0.9968345128228652,0.1713451282634994,0.0096581955059701,3466.1881406458265,0.9670736547186352,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0523939834662066,0.0299276679538304,0.0799998155205095,-0.0561968761713565,1.3812172828621812,0.0,633,562
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,561,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-4.19582929231122e-05,2.506970655477079e-05,-9.109401487345068e-05,7.177429027226271e-06,0.094196436452623,-0.1772450892589467,-0.2170881573270542,0.1713451282634994,0.0096581955059701,3466.1881406458265,0.3179129730276029,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,-2.394460016101076e-06,2.139989320708673e-05,0.9109096635992462,-3.956383290701112e-05,1.1714874608097938,1.0,633,562
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,561,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0844133672994505,0.0784158107730114,-0.0692787976341599,0.238105532233061,0.2817108433757789,-0.1772450892589467,-0.2657109707053127,0.1713451282634994,0.0096581955059701,3466.1881406458265,0.4865712605201698,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0419107897877182,0.0695224236455494,0.5466161683000083,0.042502577511732295,1.1279211319329676,1.0,633,562
