check_id,check_variant,weight_status,outcome,treatment,estimate,std_error,p_value,estimate_delta_vs_reference,same_sign_as_reference,aggregation_variant,t_statistic,partial_r2,rv_q,rv_qa,empirical_p_value,excluded_facility,sample_variant
R1,random_forest_regressor,rake,how_multimodal_score_mean,total_days_incarcerated,-1.5826676703865883e-05,1.184416883633064e-05,0.1814701637976117,-3.936632526179133e-06,1.0,,,,,,,,
R1,baseline_default,rake,share_joint_Distrust_discomposed,age_at_first_exposure,-0.0159788409495051,0.0333139515153887,0.6314804686626606,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,share_joint_Distrust_discomposed,age_at_first_exposure,-0.0086968352970445,0.0251965496942212,0.7299742612332907,0.0072820056524606,1.0,,,,,,,,
R1,random_forest_regressor,rake,share_joint_Distrust_discomposed,age_at_first_exposure,0.0025371582901937,0.0357797466222416,0.9434690184907292,0.0185159992396988,0.0,,,,,,,,
R1,baseline_default,rake,share_joint_Distrust_discomposed,severity_index_v2,0.1286813275664521,0.0390068753561162,0.0009705077497186,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,share_joint_Distrust_discomposed,severity_index_v2,0.1498817226655577,0.043079496214704,0.0005029331688441,0.0212003950991055,1.0,,,,,,,,
R1,random_forest_regressor,rake,share_joint_Distrust_discomposed,severity_index_v2,0.1235138066536624,0.0424252571772574,0.003598968764666,-0.0051675209127896,1.0,,,,,,,,
R1,baseline_default,rake,share_joint_Distrust_discomposed,total_days_incarcerated,-1.1092907138107805e-05,1.1109089158044056e-05,0.3180159530774585,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,share_joint_Distrust_discomposed,total_days_incarcerated,-1.7482311556802814e-05,1.1291547101410188e-05,0.1215584140377973,-6.389404418695009e-06,1.0,,,,,,,,
R1,random_forest_regressor,rake,share_joint_Distrust_discomposed,total_days_incarcerated,-8.655622883888488e-06,1.189043100187104e-05,0.4666450366669865,2.4372842542193165e-06,1.0,,,,,,,,
R1,baseline_default,rake,share_joint_Rupture_discomposed,age_at_first_exposure,0.0302300777870654,0.0285017881310647,0.288854474496087,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,share_joint_Rupture_discomposed,age_at_first_exposure,0.0484823187052856,0.0598957281988522,0.4182590253765608,0.0182522409182201,1.0,,,,,,,,
R1,random_forest_regressor,rake,share_joint_Rupture_discomposed,age_at_first_exposure,0.015151255306713,0.0358049124741218,0.6721775395356171,-0.0150788224803524,1.0,,,,,,,,
R1,baseline_default,rake,share_joint_Rupture_discomposed,severity_index_v2,0.0763756818474256,0.0727861933465865,0.2940329282865787,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,share_joint_Rupture_discomposed,severity_index_v2,0.079935316911317,0.0702644655353994,0.2552729155940039,0.0035596350638913,1.0,,,,,,,,
R1,random_forest_regressor,rake,share_joint_Rupture_discomposed,severity_index_v2,0.048371684126578,0.0693144231138859,0.4852654662904094,-0.0280039977208476,1.0,,,,,,,,
R1,baseline_default,rake,share_joint_Rupture_discomposed,total_days_incarcerated,-8.290781804134906e-06,2.307310692782184e-05,0.7193507533740584,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,share_joint_Rupture_discomposed,total_days_incarcerated,-2.20265206912438e-05,2.2298482532119342e-05,0.3232488579355856,-1.3735738887108892e-05,1.0,,,,,,,,
R1,random_forest_regressor,rake,share_joint_Rupture_discomposed,total_days_incarcerated,-9.067255398022583e-06,2.0433016871052765e-05,0.6572196555419845,-7.764735938876773e-07,1.0,,,,,,,,
R1,baseline_default,unweighted,authority_stance,age_at_first_exposure,0.0063661278803358,0.0103246899477731,0.5375034472500901,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,unweighted,authority_stance,age_at_first_exposure,-0.0235495233169448,0.012887948792721,0.0676619689955653,-0.0299156511972806,0.0,,,,,,,,
R1,random_forest_regressor,unweighted,authority_stance,age_at_first_exposure,-0.0061076911572374,0.0039992853263054,0.1267123674447529,-0.0124738190375732,0.0,,,,,,,,
R1,baseline_default,unweighted,authority_stance,severity_index_v2,0.0214684323885979,0.0103072173665794,0.0372645029791449,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,unweighted,authority_stance,severity_index_v2,0.05436226621402,0.0125432119930553,1.464249467207402e-05,0.0328938338254221,1.0,,,,,,,,
R1,random_forest_regressor,unweighted,authority_stance,severity_index_v2,0.0383872824913346,0.0116004786251891,0.0009359240452975,0.0169188501027367,1.0,,,,,,,,
R1,baseline_default,unweighted,authority_stance,total_days_incarcerated,6.520093367756771e-06,3.736164136703724e-06,0.0809621844424519,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,unweighted,authority_stance,total_days_incarcerated,3.007773063142387e-07,3.4086903685433978e-06,0.9296872157085448,-6.219316061442533e-06,1.0,,,,,,,,
R1,random_forest_regressor,unweighted,authority_stance,total_days_incarcerated,1.602433608261872e-06,3.345158887754152e-06,0.6319168301913158,-4.917659759494899e-06,1.0,,,,,,,,
R1,baseline_default,unweighted,belonging_stance,age_at_first_exposure,0.0096986105226265,0.0074500919862248,0.192981056526297,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,unweighted,belonging_stance,age_at_first_exposure,-0.0157334555762169,0.0156603671348239,0.3150571770562153,-0.0254320660988434,0.0,,,,,,,,
R1,random_forest_regressor,unweighted,belonging_stance,age_at_first_exposure,0.0016795810589562,0.0085486447624027,0.8442396728700561,-0.0080190294636702,1.0,,,,,,,,
R1,baseline_default,unweighted,belonging_stance,severity_index_v2,0.0198302118884475,0.0135583124871627,0.143580416462742,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,unweighted,belonging_stance,severity_index_v2,0.0489121658524633,0.0161354080950756,0.002434580305331,0.0290819539640158,1.0,,,,,,,,
R1,random_forest_regressor,unweighted,belonging_stance,severity_index_v2,0.0236735329322722,0.01382637342629,0.0868595995865394,0.0038433210438247,1.0,,,,,,,,
R1,baseline_default,unweighted,belonging_stance,total_days_incarcerated,4.8641071739827965e-06,4.615984263465654e-06,0.2919960258550378,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,unweighted,belonging_stance,total_days_incarcerated,8.871119935806394e-06,4.976544165433955e-06,0.0746536557067897,4.007012761823597e-06,1.0,,,,,,,,
R1,random_forest_regressor,unweighted,belonging_stance,total_days_incarcerated,7.819498918177032e-06,4.186572658597457e-06,0.0617959985745745,2.955391744194235e-06,1.0,,,,,,,,
R1,baseline_default,unweighted,how_multimodal_score_mean,age_at_first_exposure,0.0085641293064146,0.0138495441657742,0.5363321024194657,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,unweighted,how_multimodal_score_mean,age_at_first_exposure,-0.0122223792717017,0.0268813373013649,0.6493401987178588,-0.0207865085781163,0.0,,,,,,,,
R1,random_forest_regressor,unweighted,how_multimodal_score_mean,age_at_first_exposure,0.0189313166882569,0.0256449182252445,0.46038728286037,0.0103671873818422,1.0,,,,,,,,
R1,baseline_default,unweighted,how_multimodal_score_mean,severity_index_v2,0.0226536840429656,0.0280934827718789,0.4200307225965584,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,unweighted,how_multimodal_score_mean,severity_index_v2,0.0570116556364516,0.0301875197100841,0.058947641838366,0.034357971593486,1.0,,,,,,,,
R1,random_forest_regressor,unweighted,how_multimodal_score_mean,severity_index_v2,0.0385603118914762,0.0293793825721713,0.189352952052811,0.0159066278485105,1.0,,,,,,,,
R1,baseline_default,unweighted,how_multimodal_score_mean,total_days_incarcerated,-4.513825575621248e-06,9.56492254889235e-06,0.636987822804426,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,unweighted,how_multimodal_score_mean,total_days_incarcerated,-1.492974333558147e-05,1.0352468228589324e-05,0.1492619345668096,-1.0415917759960225e-05,1.0,,,,,,,,
R1,random_forest_regressor,unweighted,how_multimodal_score_mean,total_days_incarcerated,-9.055434853052532e-06,9.43606565701893e-06,0.3372252894148232,-4.541609277431284e-06,1.0,,,,,,,,
R1,baseline_default,unweighted,share_joint_Distrust_discomposed,age_at_first_exposure,-0.0031162268478123,0.0202327263837868,0.8775946546262361,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,unweighted,share_joint_Distrust_discomposed,age_at_first_exposure,0.0053584430469742,0.0186058717020926,0.7733487135874717,0.0084746698947864,0.0,,,,,,,,
R1,random_forest_regressor,unweighted,share_joint_Distrust_discomposed,age_at_first_exposure,-0.0033583307473339,0.025046019252384,0.8933342477085828,-0.0002421038995216,1.0,,,,,,,,
R1,baseline_default,unweighted,share_joint_Distrust_discomposed,severity_index_v2,0.0787849288709242,0.0286944576499595,0.0060391209343314,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,unweighted,share_joint_Distrust_discomposed,severity_index_v2,0.1267163221170806,0.0342153529137352,0.0002126510001636,0.0479313932461563,1.0,,,,,,,,
R1,random_forest_regressor,unweighted,share_joint_Distrust_discomposed,severity_index_v2,0.1031542883558699,0.0327380508451131,0.001627688220812,0.0243693594849457,1.0,,,,,,,,
