track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05,source_path,estimate_reference,std_error_reference,p_value_reference,estimate_delta_vs_reference,std_error_ratio_vs_reference,same_sign_as_reference,check_variant
track1_per_cell,main,share_class_Injury,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.015204394290558,0.0345595055015248,-0.0829397803970605,0.0525309918159445,0.6599745819117233,-0.2177753875935015,-0.3190036489707968,0.1532454082284388,0.0021815769773331,3362.755842718917,0.9760885314688308,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv,-0.015204394290558,0.0345595055015248,0.6599745819117233,0.0,1.0,1.0,baseline_default
track1_per_cell,main,share_class_Rupture,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0278932548982498,0.0200525137415436,-0.0114089498346701,0.0671954596311698,0.1642222770502435,-0.1124131589290144,0.995908135794145,0.1532454082284388,0.0096191981748823,3362.755842718917,0.6975311649337517,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv,0.0278932548982498,0.0200525137415436,0.1642222770502435,0.0,1.0,1.0,baseline_default
track1_per_cell,main,share_class_Rupture,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,1.0795158834289604e-05,1.621163876070889e-05,-2.0979069267073373e-05,4.256938693565258e-05,0.5054817794676245,-0.1124131589290144,-0.2171682621380317,0.1532454082284388,0.0096191981748823,3362.755842718917,0.9441539990268156,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv,1.0795158834289604e-05,1.621163876070889e-05,0.5054817794676245,0.0,1.0,1.0,baseline_default
track1_per_cell,main,share_class_Rupture,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.0995122149512267,0.044053257704567,-0.1858550134538397,-0.0131694164486136,0.0238891665964535,-0.1124131589290144,-0.3190036489707968,0.1532454082284388,0.0096191981748823,3362.755842718917,0.2301481002190593,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv,-0.0995122149512267,0.044053257704567,0.0238891665964535,0.0,1.0,1.0,baseline_default
track1_per_cell,main,share_class_Distrust,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0092686807901695,0.027549752209535,-0.0632652029038609,0.0447278413235218,0.7365434098717267,-0.1967440028743607,0.995908135794145,0.1532454082284388,0.0237049651072243,3362.755842718917,0.9813174645123344,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv,-0.0092686807901695,0.027549752209535,0.7365434098717267,0.0,1.0,1.0,baseline_default
track1_per_cell,main,share_class_Distrust,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,9.46724937629709e-06,1.3453727490182812e-05,-1.6901571962277677e-05,3.583607071487186e-05,0.4816260400632659,-0.1967440028743607,-0.2171682621380317,0.1532454082284388,0.0237049651072243,3362.755842718917,0.9358869642138464,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv,9.46724937629709e-06,1.3453727490182812e-05,0.4816260400632659,0.0,1.0,1.0,baseline_default
track1_per_cell,main,share_class_Distrust,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.1183969948794277,0.0356715351450266,0.0484820707219207,0.1883119190369348,0.0009031168623189,-0.1967440028743607,-0.3190036489707968,0.1532454082284388,0.0237049651072243,3362.755842718917,0.0331913650403778,0.6023789471667708,1,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv,0.1183969948794277,0.0356715351450266,0.0009031168623189,0.0,1.0,1.0,baseline_default
track1_per_cell,main,share_region_injury,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0219790346107817,0.0285870156774082,-0.0780085557639837,0.0340504865424203,0.4419842814692205,-0.1768038539197174,0.995908135794145,0.1532454082284388,0.0035624135763732,3362.755842718917,0.9051414626495414,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv,-0.0219790346107817,0.0285870156774082,0.4419842814692205,0.0,1.0,1.0,baseline_default
track1_per_cell,main,share_region_injury,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-7.879675975852057e-06,1.2803473508891194e-05,-3.297402293029147e-05,1.7214670978587356e-05,0.5382690169571814,-0.1768038539197174,-0.2171682621380317,0.1532454082284388,0.0035624135763732,3362.755842718917,0.948508762670043,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv,-7.879675975852057e-06,1.2803473508891194e-05,0.5382690169571814,0.0,1.0,1.0,baseline_default
track1_per_cell,main,share_region_injury,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.0218877502739894,0.0334655808526441,-0.0874790834668851,0.0437035829189062,0.5130875414054914,-0.1768038539197174,-0.3190036489707968,0.1532454082284388,0.0035624135763732,3362.755842718917,0.9441539990268156,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv,-0.0218877502739894,0.0334655808526441,0.5130875414054914,0.0,1.0,1.0,baseline_default
