narrator_id,ilr_what_1,ilr_what_2,alr_how,P_auth,P_shame,P_dist,P_comp,P_decomp,ilr_what_1_std,ilr_what_2_std,alr_how_std,n_segments
125,-0.11630998625612503,0.1073685272599088,0.1303318659523737,0.31786626315789474,0.3774481578947368,0.30468563157894735,0.5325057894736842,0.4674942631578947,0.148118699017644,0.16467380809983598,0.06794194092078384,19
126,-0.29303352073205835,0.2631758254860665,0.025068815066022758,0.29362305263157895,0.44435410526315794,0.2620227894736842,0.5062611578947368,0.49373878947368416,0.08781202610345823,0.09177251524356783,0.07580174614400385,19
129,-0.14295693954948724,0.15769031089023777,0.07831885127274998,0.3179966363636364,0.390532,0.29147145454545453,0.5195494545454545,0.4804506363636364,0.09108194589424887,0.13157565738320343,0.060825041518598806,11
130,-0.20674947435779217,0.20863564294809203,0.021994515068257503,0.307594625,0.4149019375,0.2775033125,0.5054980625000001,0.49450181249999997,0.19002990432182026,0.17729539599481756,0.09194907866768896,16
131,-0.18425364423650598,0.2573081933918018,0.06392227694723371,0.3195344,0.4148924,0.2655731,0.5159602999999999,0.4840396,0.11217689164334527,0.07956447635069504,0.06550775293818484,10
132,-0.1928790112962903,0.2364007263669255,0.06729115205613817,0.315124875,0.414391875,0.2704833125,0.51679875,0.4832013125,0.10077325483903231,0.07603415126711763,0.06890591395276068,16
133,-0.196754366626082,0.30474463226222026,0.04892816950461633,0.3214429285714286,0.42476128571428573,0.25379564285714284,0.5122090714285714,0.4877907857142857,0.13833862009879014,0.06538455339798917,0.0860958838031312,14
135,-0.2525860983493965,0.24997133090380622,0.033232375945667164,0.3022070666666667,0.4318428666666667,0.26595006666666665,0.5082911333333333,0.4917088666666667,0.09733249268653722,0.07481280994824305,0.06663289186795687,15
136,-0.26358913863336214,0.28426869082889095,0.0012964817904398754,0.3029775714285714,0.439552,0.25747021428571426,0.5003235,0.4996762857142857,0.11607630392178817,0.08030931372303603,0.05780676485751518,14
139,-0.19638259541774794,0.24679354256159436,0.06464055608043465,0.3148996470588235,0.4172562941176471,0.2678438235294118,0.5161081176470588,0.48389164705882354,0.16312113570353395,0.1252250599862817,0.09413140471554353,17
14,-0.17162787713663247,0.21459328937742417,0.03335454892173109,0.31804175,0.40579175,0.276166,0.50832375,0.49167574999999997,0.08674658315802578,0.06238410523585561,0.0772919573047224,4
147,-0.1879930613825728,0.2668816510733534,0.09252390175154768,0.31983972222222223,0.41756350000000003,0.2625969444444445,0.5230842222222223,0.4769159444444444,0.15605877729524179,0.0727394545945511,0.06886078762462784,18
149,-0.18145882009469536,0.28538838835760966,0.07819224355468364,0.3232291428571429,0.417847,0.25892392857142854,0.5195223571428571,0.4804777142857143,0.09245508073032054,0.05921172863837429,0.06350107186834977,14
150,-0.1770869775280933,0.28876140267816,0.056688313529131985,0.3246819444444444,0.41719016666666664,0.25812788888888893,0.5141581666666667,0.48584183333333336,0.11859298207691699,0.07500819922248167,0.06059236505449492,18
151,-0.1819660013102391,0.2658131212864046,0.07066237361947278,0.3209641818181818,0.415249,0.26378690909090907,0.5176452727272728,0.4823548181818182,0.07137371103873351,0.0711564236130974,0.06400880115170761,11
170,-0.1500316318298562,0.19759302817619476,0.12626351308015427,0.3212476,0.39772785,0.2810247,0.5314924000000001,0.46850775,0.08201019079328678,0.09476105941809701,0.06468713011603602,20
174,-0.1895711656115318,0.178706117809357,0.06677405195105252,0.30946427777777774,0.40529886111111113,0.28523686111111113,0.5166717222222222,0.48332827777777776,0.08835899503674383,0.11282532646171889,0.058308953522407656,36
18,0.028666634716900855,-0.13865184018231172,0.17635925289749257,0.3190685,0.30877983333333336,0.3721515,0.5439276666666667,0.45607216666666667,0.11677575483659126,0.15357856492456934,0.0731320716281603,6
