narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier
221,36,1584,0,0.0,1.0,1,0.0,1312.0,21.333,1921.0,male,Nisei,2003.0,A
222,20,744,0,0.0,1.0,1,1.0,1317.0,15.417,1927.0,female,Nisei,2006.0,A
23,24,190,0,0.0,1.0,1,0.0,1470.0,32.417,1910.0,male,Nisei,1998.0,A
231,20,189,0,0.0,1.0,1,0.0,1269.0,8.5,1934.0,male,Nisei,2009.0,A
232,36,210,0,0.0,1.0,1,0.0,1269.0,29.5,1913.0,male,Nisei,2009.0,A
233,17,113,0,0.0,1.0,1,0.0,1269.0,21.5,1921.0,male,Nisei,2002.0,A
234,15,128,0,0.0,1.0,1,1.0,1269.0,18.5,1924.0,male,Nisei,2002.0,A
235,26,1433,0,0.0,1.0,1,1.0,1269.0,18.5,1924.0,male,Nisei,2010.0,A
236,43,298,0,0.0,1.0,1,1.0,1902.0,17.5,1925.0,female,Nisei,2002.0,A
237,17,172,0,0.0,1.0,1,1.0,1269.0,17.5,1925.0,male,Nisei,2002.0,A
239,18,155,0,0.0,1.0,1,0.0,1269.0,21.5,1921.0,male,Nisei,2002.0,A
244,16,93,0,0.0,1.0,1,0.0,1269.0,26.5,1916.0,male,Nisei,2006.0,C
245,17,116,0,0.0,1.0,1,0.0,2444.0,23.5,1919.0,female,Nisei,2006.0,A
