narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier
331,23,137,0,0.0,1.0,1,0.0,1343.0,28.333,1914.0,female,Nisei,2008.0,A
333,20,142,0,0.0,1.0,1,0.0,1461.0,23.333,1919.0,female,Nisei,2008.0,A
334,25,144,0,0.0,1.0,1,0.0,1343.0,7.333,1935.0,male,Nisei,2008.0,A
335,25,196,0,0.0,1.0,1,1.0,1314.0,16.333,1926.0,male,Nisei,2008.0,A
336,25,180,0,0.0,1.0,1,1.0,1314.0,14.333,1928.0,male,Nisei,2008.0,A
337,23,172,0,0.0,1.0,1,0.0,1314.0,24.333,1918.0,female,Nisei,2008.0,A
338,25,163,0,0.0,1.0,1,1.0,1277.0,15.417,1927.0,female,Nisei,2008.0,A
339,25,150,0,0.0,1.0,1,0.0,1312.0,21.333,1921.0,male,Nisei,2007.0,A
34,13,944,0,0.0,1.0,1,1.0,1393.0,14.417,1928.0,male,Nisei,1997.0,A
340,17,108,0,0.0,1.0,1,1.0,1312.0,12.333,1930.0,male,Nisei,2007.0,A
342,20,134,0,0.0,1.0,1,1.0,1277.0,17.417,1925.0,male,Nisei,2008.0,A
343,25,1219,0,0.0,1.0,1,0.0,1269.0,20.5,1922.0,female,Nisei,2008.0,A
344,25,155,0,0.0,1.0,1,1.0,2645.0,17.417,1925.0,male,Nisei,2008.0,A
346,24,141,0,0.0,1.0,1,1.0,1314.0,18.333,1924.0,male,Nisei,2008.0,A
347,15,91,0,0.0,1.0,1,0.0,2662.0,0.417,1942.0,male,Kibei,2008.0,C
348,17,110,0,0.0,1.0,1,0.0,1269.0,25.5,1917.0,male,Nisei,2008.0,A
349,20,93,0,0.0,1.0,1,0.0,1269.0,21.5,1921.0,female,Nisei,2008.0,C
35,44,1861,0,0.0,1.0,1,1.0,1312.0,16.333,1926.0,female,Nisei,1998.0,A
350,24,144,0,0.0,1.0,1,0.0,1269.0,6.5,1936.0,female,Nisei,2008.0,A
353,25,172,0,0.0,1.0,1,0.0,137.0,20.333,1922.0,male,Nisei,2008.0,A
354,25,193,0,0.0,1.0,1,0.0,1312.0,30.333,1912.0,male,Nisei,2008.0,A
355,20,146,0,0.0,1.0,1,1.0,1470.0,13.417,1929.0,female,Nisei,2008.0,A
356,25,188,0,0.0,1.0,1,0.0,1343.0,20.333,1922.0,male,Nisei,2008.0,A
357,25,165,0,0.0,1.0,1,0.0,1343.0,19.333,1923.0,male,Nisei,2008.0,A
358,24,147,0,0.0,1.0,1,1.0,1979.0,16.417,1926.0,female,Nisei,2008.0,A
361,18,123,0,0.0,1.0,1,1.0,2521.0,15.417,1927.0,female,Nisei,2008.0,A
363,18,86,0,0.0,1.0,1,1.0,1275.0,13.5,1929.0,female,Nisei,2008.0,C
364,19,107,0,0.0,1.0,1,0.0,1215.0,7.583,1935.0,female,Nisei,2008.0,A
365,20,99,0,0.0,1.0,1,1.0,1445.0,18.417,1924.0,male,Nisei,2008.0,A
366,25,162,0,0.0,1.0,1,1.0,1269.0,17.5,1925.0,female,Nisei,2008.0,A
367,20,114,0,0.0,1.0,1,0.0,1445.0,22.417,1920.0,female,Nisei,2008.0,A
368,23,144,0,0.0,1.0,1,1.0,2591.0,16.417,1926.0,male,Nisei,2008.0,A
372,23,177,0,0.0,1.0,1,1.0,3255.0,13.333,1929.0,male,Nisei,2009.0,A
374,25,168,0,0.0,1.0,1,0.0,1312.0,26.333,1916.0,male,Nisei,2009.0,A
375,44,300,0,0.0,1.0,1,1.0,1269.0,18.5,1924.0,female,Nisei,2008.0,A
376,14,81,0,0.0,1.0,1,1.0,1378.0,15.417,1927.0,female,Nisei,2008.0,C
378,25,169,0,0.0,1.0,1,0.0,1269.0,20.5,1922.0,male,Nisei,2008.0,A
