narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier,how_multimodal_score_mean,how_multimodal_score_max,composure_score_mean,composure_score_max,r_how,p_hat_r_how,ipo_weight,ipo_weight_stabilized
184,25,207,0,0.0,1.0,1,0.0,2645.0,33.417,1909.0,female,Nisei,2004.0,A,0.2364,0.55,0.226,0.55,1,0.8673284821693913,1.1529657108674285,0.8204781621929772
185,23,207,0,0.0,1.0,1,0.0,1312.0,20.333,1922.0,female,Nisei,2004.0,A,0.2787,0.45,0.2652,0.45,1,0.7038901070338088,1.4206763101331223,1.01098747085216
186,22,1007,0,0.0,1.0,1,1.0,1329.0,18.417,1924.0,male,Nisei,2004.0,A,0.5869,0.9495,0.2705,0.45,1,0.7941757344595898,1.2591671548369163,0.8960536669534522
187,16,746,0,0.0,1.0,1,1.0,1400.0,11.25,1931.0,male,Nisei,2004.0,A,0.3677,0.9169,0.1719,0.35,1,0.7494655726853797,1.3342841038273987,0.9495086966011996
188,23,1045,0,0.0,1.0,1,0.0,1400.0,4.25,1938.0,male,Sansei,2004.0,A,0.493,0.9954,0.3739,0.7,1,0.6006118003121687,1.6649689524585578,1.1848319974700783
189,24,238,0,0.0,1.0,1,1.0,1312.0,10.333,1932.0,male,Nisei,2004.0,A,0.359,0.4587,0.32,0.45,1,0.7359753192724207,1.358741215654612,0.9669129662819026
191,23,184,0,0.0,1.0,1,0.0,1312.0,26.333,1916.0,female,Nisei,2004.0,A,0.6259,0.7478,0.3152,0.7,1,0.750958113512446,1.3316321936022688,0.9476215334294706
192,25,1167,0,0.0,1.0,1,1.0,1275.0,12.5,1930.0,female,Nisei,2004.0,A,0.4988,0.65,0.424,0.65,1,0.6310441431052153,1.5846751941619208,1.127693025667328
193,18,854,0,0.0,1.0,1,1.0,1400.0,18.25,1924.0,male,Nisei,2004.0,A,0.546,0.9395,0.2944,0.45,1,0.7979032393885627,1.2532847977485404,0.8918676400076878
195,39,1177,0,0.0,1.0,1,0.0,1314.0,29.333,1913.0,male,Nisei,2005.0,A,0.4089,1.0,0.2615,0.45,1,0.8485384455046435,1.17849698537263,0.8386468319001726
196,69,1237,0,0.0,1.0,1,0.0,1400.0,30.25,1912.0,male,Nisei,2005.0,A,0.2853,0.45,0.2319,0.45,1,0.8573009885313284,1.1664514719773438,0.8300749545233513
198,23,643,0,0.0,1.0,1,0.0,1358.0,23.0,1920.0,female,Nisei,2005.0,A,0.7169,0.9223,0.5248,0.72,1,0.7146690714573615,1.3992490229929615,0.9957392973741181
2,40,1401,0,0.0,1.0,1,0.0,1312.0,22.333,1920.0,male,Nisei,1997.0,A,0.3614,0.55,0.3032,0.55,1,0.8705405644604606,1.1487115486913297,0.8174507979522051
205,34,1506,0,0.0,1.0,1,0.0,1314.0,23.333,1919.0,male,Nisei,1983.0,A,0.558,1.0,0.3038,0.45,1,0.940054215541121,1.0637684332114532,0.7570032316256741
207,28,374,0,0.0,1.0,1,1.0,1312.0,18.333,1924.0,male,Nisei,2003.0,A,0.4089,0.5515,0.2864,0.55,1,0.8021629389105205,1.2466295206285363,0.8871315845562228
209,49,405,0,0.0,1.0,1,0.0,2645.0,25.417,1917.0,male,Nisei,2006.0,A,0.4065,0.6919,0.2857,0.45,1,0.8810720522598923,1.134980955797049,0.8076797774287554
21,25,195,0,0.0,1.0,1,1.0,2705.0,16.333,1926.0,female,Nisei,1998.0,A,0.4729,0.628,0.266,0.6,1,0.8275100447895133,1.2084445455334158,0.8599582368199244
210,19,717,0,0.0,1.0,1,0.0,1175.0,19.667,1923.0,female,Nisei,2006.0,A,0.3932,0.7,0.3421,0.7,1,0.6608298504364297,1.5132488330234677,1.0768643072010002
211,25,968,0,0.0,1.0,1,0.0,2461.0,19.5,1923.0,male,Nisei,2006.0,A,0.475,0.5981,0.322,0.45,1,0.8452983815369439,1.1830142134920139,0.8418614002005691
212,25,973,0,0.0,1.0,1,0.0,2444.0,25.5,1917.0,male,Nisei,2006.0,A,0.3938,0.55,0.2748,0.55,1,0.8732184796271804,1.1451887738644158,0.8149439065602386
214,25,194,0,0.0,1.0,1,0.0,2705.0,24.333,1918.0,female,Nisei,2006.0,A,0.4387,0.7,0.32,0.7,1,0.8063008222734631,1.2402318990328927,0.8825788829799974
221,36,1584,0,0.0,1.0,1,0.0,1312.0,21.333,1921.0,male,Nisei,2003.0,A,0.4781,0.8,0.4278,0.8,1,0.8206151448354281,1.218598031359203,0.8671837018200299
222,20,744,0,0.0,1.0,1,1.0,1317.0,15.417,1927.0,female,Nisei,2006.0,A,0.3701,0.7,0.3575,0.7,1,0.6351380501992837,1.574460858842004,1.1204242587020006
23,24,190,0,0.0,1.0,1,0.0,1470.0,32.417,1910.0,male,Nisei,1998.0,A,0.663,0.9966,0.2917,0.85,1,0.9092801091230222,1.0997711155965733,0.7826236073219617
231,20,189,0,0.0,1.0,1,0.0,1269.0,8.5,1934.0,male,Nisei,2009.0,A,0.4161,0.7076,0.3253,0.45,1,0.656345713502163,1.523587309901285,1.0842214162881425
232,36,210,0,0.0,1.0,1,0.0,1269.0,29.5,1913.0,male,Nisei,2009.0,A,0.4875,0.9611,0.3269,0.7,1,0.8144942653576669,1.2277557283486489,0.8737005395065277
233,17,113,0,0.0,1.0,1,0.0,1269.0,21.5,1921.0,male,Nisei,2002.0,A,0.3775,0.55,0.3753,0.55,0,0.8271482484043002,,
