track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05,source_path
track1_ilr,main,ilr_what3_2,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.4585087237683004,0.5125170555303148,-1.463023694070232,0.5460062465336315,0.3709895102477929,-0.1660664439987562,-0.3190036489707968,0.1532454082284388,0.0022041865830686,3362.755842718917,0.9344216013749764,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_1,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.3844111003334217,1.01872904172699,-2.381083332123324,1.6122611314564803,0.7059181169580169,-0.2914699032856169,0.9956737825344936,0.2075078017619803,0.01820467346098,3477.635084041861,0.9555383670135684,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_1,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,0.0014465025656744,0.0005452947581225,0.0003777444787957,0.0025152606525532,0.0079851170305074,-0.2914699032856169,-0.145933389152562,0.2075078017619803,0.01820467346098,3477.635084041861,0.1416544040359359,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_1,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-3.11764890918354,1.7984836633099073,-6.642612116054619,0.407314297687539,0.0830090613056543,-0.2914699032856169,-0.2272169880959906,0.2075078017619803,0.01820467346098,3477.635084041861,0.4754155329323838,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_2,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.1495841552373463,0.5178438787923432,-0.8653711968101713,1.164539507284864,0.7726888511525791,-0.305759440281822,0.9956737825344936,0.2075078017619803,0.0046746276750786,3477.635084041861,0.9613334523190872,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_2,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-0.0005684414779042,0.0004752807805557,-0.0014999746903375,0.000363091734529,0.2316919082814591,-0.305759440281822,-0.145933389152562,0.2075078017619803,0.0046746276750786,3477.635084041861,0.7891603677966768,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_2,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.2533702660077019,1.167656974435517,-2.035195350182918,2.541935882198322,0.828215885093399,-0.305759440281822,-0.2272169880959906,0.2075078017619803,0.0046746276750786,3477.635084041861,0.966251865942299,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_3,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.1449447316308078,0.4865511015923155,-0.8086779041284197,1.0985673673900354,0.7657776706608931,-0.1566661055090903,0.9956737825344936,0.2075078017619803,0.0017256565331906,3477.635084041861,0.9613334523190872,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_3,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-0.0001833666505424,0.0004409822435333,-0.0010476759656894,0.0006809426646044,0.6775460141195073,-0.1566661055090903,-0.145933389152562,0.2075078017619803,0.0017256565331906,3477.635084041861,0.9555383670135684,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_3,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.6300402115929885,1.2306691092438862,-3.042107342596995,1.7820269194110177,0.6086864804975631,-0.1566661055090903,-0.2272169880959906,0.2075078017619803,0.0017256565331906,3477.635084041861,0.9555383670135684,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_4,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0842440024986749,0.5804006869482669,-1.2218084455195846,1.053320440522235,0.8845940161330067,-0.2252306632891791,0.9956737825344936,0.2075078017619803,0.0158025570781817,3477.635084041861,0.9760964004344074,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
